2018-04-26 06:40:16	75baba6e8b8275a379a02f0968ea783b:eitsuYI6UugHWue5K2zMlOv6WJuKMlLE	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	220.136.181.217
2018-04-26 18:19:16	2ce00640e52a028a293ba0a7c96d6e3a:ZqfgK89kNZV8jwas0scsy2wOmuuEgdSp	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.204.66.225
2018-04-26 18:19:22	5947e82358214a2eb233b7fd8837e2a7:oN8FzHwvzeSAKhHmVV21A1XnEB5wePE9	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 18:21:00	07e52e2ce87d97a12d83a12eb8226694:gA18Z8aR49YLIiA4fAugaczgGyxirfNR	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 18:22:02	9dc4c94995095dd1b5141c6a29d0a063:wa4RGqNTaHUr4J3a3JOdXpqeNIHp9oqK	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 18:23:39	75ef1f14bbbb016f41ce650d66a0ef8f:2Tt6MJq3AfycvM2Gohi2sgUY18w6fvfz	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 18:24:52	b051fb9e3500ba872fe2274a67ff377b:SnAJDiMtM4DnjKWJWwvukT1hwlB1gtxL	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 18:25:57	b0879ae84f3f3d82ac0c6a635342c2b6:tk4MxWoVb3iVRVxDzQoxYMWKj0v75qMw	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 18:26:52	a24be381e0410da7c0466e4f7f151c25:W7bZAPJmecwVz2e5iyZOC4EVBOIdkAbc	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 18:28:04	f24b29c32d24dc65a425d2eac60074a7:AoF1DUFO3EhyYKDxSXRfP899eoYeQ1Sn	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 18:29:35	197ecd5147476f25d6e3513dcc50f8ad:ImmuZNkf23cDOKPYGlWmpv8pGH7aF1y8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 18:33:48	02aa92e5f1e959e30703385c09e210b3:F01kptsyMaI1WsooneYBie2ELnwzZrkY	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 18:42:26	cf820423f656ce28e78c6120708a69c2:8aDlGsmRhYO7v49CfUnZbSB7ibLh5U4H	Q1:提案名稱二：閒置空間_空宅空間改造,;	61.231.23.15
2018-04-26 19:13:28	5abdf8a29152511bfb82c526c7251205:MaAd9ANjESv0Z6pa8cx1ieVX1rITWLpz	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:17:36	29a76b3841ef686de49670c5f52f7088:h3kT0T9PO1qxIz1WQFzAMqKVTsDCmsgd	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:18:57	940f1a0f5a52479f82eed077133bdd8b:dzO6pTELjFRIcEYB1scSa7qPtzENxMuz	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.13.51.170
2018-04-26 19:20:44	ddb686aa5d7ece8d0ff557c9d9d5ceef:JRrNUf0Mf4fLHm25SwKbZL6XVbmYzr3W	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:21:51	356248a9fceae15a7ced603dab0975e8:WWqI1Ev6odtfrDJupOSJi3cLA28g2dli	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:23:26	53497e47338a973d04a773ba0a78ea38:Tx4tGUwp5iwmHnFtx79Aw2AmzRBljnuR	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:25:01	71e05adaeaffaafe131043478557bb96:HEpFs6MAnXhodFwEwmlSYcJeOgo1ijy7	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:25:58	00ce58dad5c756d5f19c6fd690885b50:pno7JQsrVBijXTQsRJSp4UddLRHFCIRH	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:26:42	b80cfd86598517bbed6ac6dcbe7e4b6d:qbgDDnBZS936Ubkb35JJqagpuJDQGD6D	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱三：活化社區青年參與_以松山區為例,;	116.59.106.37
2018-04-26 19:27:05	1c2a31c76e080d4e990b3bbab316ae65:qk78TPX1kpyPCw0XD7uJ65DTa5QPFWJK	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:27:08	a481371e87341b5bc226e6dcd6bf36c2:uwy27ONbVIbazQnqH6lvBPzRmVZF5eIx	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:29:28	8abe09953136e7433240966cce778641:hicykXYJkNwZsbEVE1xvX86xhwh1eVpK	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:31:14	59dc07149166d2c65cf0e715829b2e74:1vl2y9yXakm0dQhAHBwCzS3vWV0BGAPX	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:32:45	52d90513bfefb40df43ab3d8e2fc0ab8:noUcG0H21FS8LRJbdekSCOB23EWZ5QQb	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:33:43	1aa30cc185e225991b74c86a3753b415:5JKb9L7GmlfKQTcmutUNoHsAk1yBTAAn	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:34:49	4833e267db858873a1f672aecefe4019:06kWV5PtqbrJD2UiZKKCTKDguX9SQRFV	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:36:28	02a374e5427683ed22c994844b9bbb2e:qiJBB5AG1K5AS0zG0jgblMejARzqbQWq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:38:46	c4609beca725396c7bd959a73fe64f61:Cnk5IXoIZBZCnjsLjMRcSDwR8moqN4gC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:39:56	129bf878a5cda46ba9f4af9ca70aee4f:Zvrqsw3zhpLap0sQrX2kxdhhPX5P1yUI	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:40:16	5f92cebcf061cffe00ff780eaa128134:7EARztuKwXzjlTXEMrZObdWq3kvUeYUD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:41:18	7f15bde10106ee9df1ee4d32ae3a29ef:HNxjL6YPq7xIR3Gw6uPjmBKRg7tVJ8TC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:41:26	e3b191b4000852525c0bbc8286260a34:6LzdWhG42itEWyRRh06C4DaSrijn0tZd	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:42:11	6fe8bab1ec0c4459c3ae547c5a65acf7:j4ODL5svkwmQYMyHI5vDzKEKBesdOJRo	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:42:37	76329dee9a81431600bf2414173acf64:T2zuzGyStyYFHgmm5AhsiTSoc5VuMV5f	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:43:33	3e1c72a75c5f7df1b8cdeb7af66edfc0:Po5NTThQ85r0tEOWf5icSuHhCHV5Oz4H	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:44:14	bcae94b17720822ce3d480b687c6f9fb:eucQddZjguNT2bQE994D1zaQIbiOsn5s	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:44:59	331881d687c4a452099937d0c2d6a9fb:wKAAeDwsnjRXRDdOKFyy7ecWNV0wdIyN	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:45:25	1baa96177f590972cb8c1f23b366462d:v4vzuPX2strTKNr1A0Eoy5W49m1Y3DW2	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:46:08	204d732be93a59b71aeb5a18239cb7cc:F3JyFHLSJkSV2nBu4m69QveHWMN8BKlH	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:46:40	9c78d3f986e34042671a6372565b2a9d:59Gd67Sy9v6rL5qRleKnE4k5AV2z26mK	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:47:19	fecaa286a32928a3fd8857032a31f514:t3PQ1pO7aktEe0W3AHk0hJlZGnFlYMyc	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:47:35	fee21d44d139bc5a3930f5200a827825:yyOxsPCWLMeoUBSs2bSA25o6z7a5AXoh	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:48:34	9bf9916b330bd1432ab486e09554a663:6HUgOMLODRlFTnOlZ5FYOOw3Y2Sxp94e	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:48:42	f57d19e025053241b807ee098da2af76:roou5VwQef05xkCjXxaTCI4TYIpTstbi	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:49:36	ea6d653f80400780648868cc97e847ac:kKWjen4ypnATn3qKTUno88i0Uvbei12p	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:49:50	5f46569ef951555cb6ea92f222a59f33:0RMEgxZOSmYFAymwkB1Q0UDrLkXk3k33	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:50:38	268073bad487d283b8f3dfd71c70aa6c:hkE1ATlmY4dGwR6NcBgd7ce0wuB755Ik	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:51:11	28b3f8811a9a21cbc98aab6df668d2ea:VcSv249eSWhDIMVmaxQhr67KfxsLA4pg	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:52:09	17956cfdf12dc9cf3c443588822d5ffd:a5pa9tPf0bdgi33mevIXmnmcMfFsO3Lc	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:52:23	5f16fd9ed18ddcf66d3436d38f04499b:zXjlwxseJtTKtWUMGHz8c1uoFsKpKrcs	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:53:09	01a6566e78f1cf9b396dd732337637f9:qHk9MKCY4nzCACOel99R8IK9RDNNlaqD	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:54:30	3cd8932be8d98483abca2ca9cda27fe8:uI1f9mSbuoRr0JY5JsLCQ8bX3oATHkB5	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:55:31	993f857befac0d48bde718b8198b8ec9:w2NLKaxwGe9fmAZzeKM6KSUPPx99rs7V	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 19:55:33	75bae891f2e8623a891ce571e7a87a74:WP3GJENhcBDbMunoS3kPabFX8Ijnln4G	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:56:16	83194644a11c30dc9f540b2a58f8f7bb:VmIOBcbwFfClH5zz3R4p4jxGpiJvGzUA	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.184.133.11
2018-04-26 19:57:06	36831ec5b9e69324d986ef33e6f18b48:HvEHoJTLwMqWaXe4aPA0WMz2rOOw5PY6	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:58:05	e31116829853fed46f878fbb865a6901:vZCqyJmLO2OQCGdCpdaKHjJajg9gmMHt	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:58:07	9d8df07f86e6dc4a80fa81c292ce80ca:NT2U7D6bSRAdWpCQlX1CGDB2PI2IBwfC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.184.133.11
2018-04-26 19:58:07	38f7ef25b95a9b113e4447cb011e3484:L9UBPQwXTWwCK7IlYuDr2PJfYyTxOPYP	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.13.51.170
2018-04-26 19:59:09	bb820d21349b73850bd966b6b35f1285:W2ncDnp1TwQTi6UUSrbywlHgSyIO1qcf	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 19:59:12	58acfcabd092fadfb0ee008ac9feda89:7b67q5cKldb2YbnBW0CNCGCAuQRIfuvq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	150.116.180.7
2018-04-26 20:00:05	668355b7bd1e901ec569252b25921cd2:g6OmbZ51uZxgl8cZxRgBeuYEvDrAoOjP	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.184.133.11
2018-04-26 20:00:10	c88a7f4d20b6fdae6cd84eb4c7cfcdc1:y7O756ySd0PWzojgoYh1mOuz8ejDkz9f	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 20:00:22	24e5e31856d848a7e0ab62bd07433999:rxIhnOZ35MFmJTkMFyryc00H0ujRuTTk	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:01:16	12ac3c061ba268472fcfce418447181f:1Dgn7qEd7l6xfuLBjvl6S0tILBCgzGBp	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 20:01:31	d0f7b448bd1e69b615c23b16dd451108:ZoB9WnGTMsZE9pZdFiZRWyx7DaOrIESf	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.184.133.11
2018-04-26 20:02:11	657528f78bbc06e671d3c5c0fbe6a71b:UZvQPYX5Oj8mIZIZ9Vv1tSkpQdVYrjcS	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:04:15	4ed271feeb32f79b76117d32e4fceaf8:zBHLR0GTsXAjE57sodPJ4YDltXiNRXEt	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:04:42	fd5826ff7037012d3d717fce4944b335:zGOCkGLhO9voemude1tCu5nv4jnfmSw9	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 20:05:05	967f2bc54d752e99a9eead3e5afe1244:XhrljqMT84X4nQG2864GB7ELNpzgUUcw	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.184.133.11
2018-04-26 20:05:53	3f9f99e4820c3e77bf8862c3d8861a8a:9zzC5AeVWlhO7hZPeR8XKArtDdvKQ0E7	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 20:06:49	8b4a73da53be309a9c91a8aefa535304:dZpK4GiYLrNHZyQ7484TAbYwfRMkGaZS	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.192.71
2018-04-26 20:07:30	17e2fc3cab47bed1af9bbfd60532231c:X9LQ2h2qq0UVGb5jLdc2AJvnSJTZcGyb	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:10:34	97b424688f624527cace586620bc766b:CIKx00k4UOkjoNTc4ZK60cG4xGnC30cC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:12:44	0512b79b5819327d13fa74cc11fc0466:lH3vrWDmWO7g8nvSmPTDXk5D37HRJJbG	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:16:31	866afd85d9d3091ead3d85c3b08aa785:DT6j61bwaUpUY8y3dynrmbrn7sFY0Dwj	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:17:37	c7826c7fe21e58bf01ae2a68e51655d7:fQBFBXVePPB7hGbi5EVZpqzPDl9aftAh	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:19:27	dd01bcd593504384c9693e5d7dea17fd:Kp9tC2okQHjXirRgL00HGU3jb0bBqvYC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:22:53	dec09964b245e7b2a4ea1e115c2d8048:1RUQ2Evy78rfT9tbv2iPgIvnWKRxSTVb	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:24:58	c4ae7cecc634d98214ab4c0a80b8a375:nwmv0W01HtB24s1le0vMgpKfU6F2UZze	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:29:11	bf7e3916e22be31203ad6355234228c8:TY7Oj9ZqHtsylnfusDFfKDIgmtC8cR5D	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:30:40	368532a2d9f6b0e6e529fe6ea14fc013:4dEbrwuCEZwI9UJeNrdG2ZfEI1No1j2l	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:30:40	c91388b40aa0a96d0731ebb14ddd445d:m1ulWDK6Q1NSnjXlzD0Clmhw34ttS9Qx	Q1:提案名稱二：閒置空間_空宅空間改造,;	111.71.118.44
2018-04-26 20:31:50	161560d468e79e777cef1d6203a948bc:htdJKGLOMGrE0I21rp4Kw3LOauWfdfli	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:32:06	3627ea48156d6468bb1dc731236e4fd5:vABPH4DUnCcFEdAQKdvjhSv2ssjuwCD1	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	111.71.118.44
2018-04-26 20:33:19	9bdd88de229a1c6d04ddb57604a67374:uGWMZz9e7TPjBEv7TyEaImp1sHrkhIUC	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	111.71.118.44
2018-04-26 20:33:25	ec2f24e497b32f3cdb269f242a3f04f0:dgz8Oj8gyhTaJaKX7ggLdxVsi6iljd8h	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:34:20	c9b09bf1bb63f85405b07bbc0cca7295:tjIlVIzQyxEY8qcifNaPViwBRmT6WyGB	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	111.71.118.44
2018-04-26 20:34:42	9cb76e34dbbf953e70baac9cb0b02766:CM1tcWx9IxPBEOOH6xefwMVXtZP9WJX2	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:35:21	5c22d8c6544e6ad9370f24069f921a74:XtIabGlM2f0p0QdhiEGMM2goAA1ReSwI	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	111.71.118.44
2018-04-26 20:36:38	51e134f59b715ce40cd1b4ac4d67dae6:OkfsIX6IYLkDnsu2Vm6fipaWQBaVIBgH	Q1:提案名稱二：閒置空間_空宅空間改造,;	111.71.118.44
2018-04-26 20:36:40	7409c717b4f60c23de6ba07659dc6491:OD2sPZuebHnsVg55wDiQvgg6Z1gCygDm	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	36.231.33.189
2018-04-26 20:37:08	b383ddfb9a6ed11db54c75c3da78603e:Q9GFsn328IjJgnPfDEcdLDC66hSziUJC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.217.141.139
2018-04-26 20:37:32	352b2c4262daba5f228381710347ee69:jVYuzxwzO9k5pN6ioibbAVUaxFKHgxv7	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:37:49	674bcec0f613b51852d88a0ebec32dd7:oRLZP4ex7HubdX57ITTYJVJSwZOsHxsv	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	111.71.118.44
2018-04-26 20:38:37	7fb3210d288376685b0ac6bae4e8d1e0:cghXzIOSJbXMraOqOQdSeI5RQNNrZKND	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.38.7
2018-04-26 20:38:51	c6ba45fba06cbfd53ca81a828813f7a6:JVmB6ksddkmcuRDi1YqWzBwTcN7YAuCN	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	111.71.118.44
