2018-04-24 01:31:14	5230c48431801711493ee69c7b8ab2df:1AZFcqRXi7MPkcOtBdJuWSGuQe88tGl9	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	42.77.137.8
2018-04-24 15:03:43	6dfe9368af4cde0933a27f5ef3a9b2ad:xNyFRyi7wMqyiH52r7uQuwtvrtzBCyLo	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.140.102.43
2018-04-24 15:04:01	d190ec534c8a598e3dd3455412fb7ea0:uL9tkUUNOkUKUuzu50SHLLq69IDhQJ3V	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:06:02	4cdff7eab13070dea9b9bfdf3fae1dc3:TMp3jjJEM4Sxv05EVB4uWtSx35oyV3RG	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:06:25	79f2b4560be5821a5898409bf95f92c0:VwuCRlMNs3rFBOa6zrT5Xr8d3kc99Qjq	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 15:06:56	54f8e861748547fbb638fcd7caf871e1:YgYxF56p89urmWMFeL2sND46P5S46aCF	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:07:21	8f7844270c12fc723472a5e517785576:tIKMYi07Le4TOZgT88BjicAcg9fEUqGT	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 15:08:46	b0bb5b8b6cdb54f139751227969ff45e:SALsY3qvhwqaCPsk4Y2S0uqcjxNAgNUG	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:09:53	a0cefe7e27fd0a086abe7449c4423270:A0vxxhnGbBWUsVy2zXB4KuK0d2FA3Ri1	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:09:55	700d80d97af1fb03e8805fc6a3fa1f90:U4uRmigtvvgvwz1PZvNQTpfXld8pkrkZ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 15:11:13	44fbf16289ed3b543b012e6556c5ea7d:pAYXV0UAqwAGhxkmY7o4BAFDDKKR8rEi	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.19.72
2018-04-24 15:11:27	82267ec2a1033ab99d1bdf3043d49c90:0bzcz6APvbLoCWVrHw3JIaN50iYI752J	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:13:03	e3485ffa4aa82b40871942cba167df8f:e9p6WmofsLG0HP0X8BqQJonoVN0D2Mdj	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:14:29	4a9e3c1762fdd63916eb11a79805a171:hKUZ5kNUMVKiy9jZSf5pEneHgNdivM5O	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:15:19	26acaf25555977683860a248d3c90e14:tYxitBazG63jysSUn7PoozylRzgfU1o6	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:15:31	e364d6ab4d1c1fcb865ff4032c0b9861:JOwGjTeIlM7HZhuVOLWFCOmkAt755RML	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.19.72
2018-04-24 15:20:25	9417021c38d8499ec3e47e7bfd283193:Quq7hU35W1oSwC8aRewYS9Dp4CvJJfeR	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:21:35	4601cc13a09640991b8a6da5942e4a22:q8Wzvr0TpA9QL487ZwAMZWpXTjzL24cV	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.213
2018-04-24 15:22:09	56dc954a7ee28a1a87bb013253435364:SQU2ZV04GMEByUDB8lZX3a8bfs9clMVA	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:28:02	ca48d7b852f76fb6495d09748a1aa71c:SCiWLgC3i2G4pw2E70GYhIR3hUi18bXv	Q1:安養平民化	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 15:30:35	f931345ab395c7d26798206cbd09b727:vU1KeKapZPb8lpG63L3ppbL9duZR8ybt	Q1:安養平民化	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 15:36:03	26542603de038c5288e4198daf9ee4bf:seZ5yrnr39diQhlU1D80kjVHz929cWz9	Q1:與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	101.9.215.171
2018-04-24 15:37:07	08b2cbfd92348571239aeaa06ea9eb85:AqilHHv6qWLgdotHNU2QBANMV2tZOGdN	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:38:08	75c20a4c8cb4ecf1e0583e6e3f68aab5:JQJBS4BYuAkuJCnKNfqZuXgPPwkHzETi	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:39:02	25930e64eba1e69f570c5b7f65a5a249:pOcZ3Bbvjsldhcztu029pVUEFD10afb0	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:41:11	cd2306a691acb672778d8261715c7f4a:ua18PNBF2B1t6QSWHECFBh2AWg5DZHiT	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,風華再現通化商圈	,;	172.28.16.201
2018-04-24 15:42:33	af759a615da0eb9c5604452d378d841a:irtjLWlyJAShlgm1cZrUAb0SRuovcFDY	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	172.28.19.72
2018-04-24 15:44:33	7f05b61afd4e2c8fb2ad388f6535bf2e:1OQW7PVurQvQKdhxzAZyHABUHYfJT3N4	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,;	117.56.49.126
2018-04-24 15:46:40	122e70843db45717360013ad8d1ed520:LOPtEvnxTJDQoFyS9O8sW2Zg2fsotkhu	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,;	117.56.49.126
2018-04-24 15:50:40	bb3bfc9585d9994c060cb819e6ec3d6b:Laagiy8uB5rCNRB6YjfbhtwlnwhzSBer	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	117.56.49.122
2018-04-24 15:57:59	ff2a24845c4c69509cba02c1208d3430:ag74zuOkwc91gq0NUQHsLAKfpkmARuS5	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.137.183.28
2018-04-24 15:59:32	9131cba6a4ae30da6d78ba0bd4b9e4a6:xUBIckb23DeuzyZgPgownjDD7FouC7C8	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 16:00:22	b1cdd006532d84a989f9cdf85192cca0:feSteX29TYsxwNfxnoCCUcDhpXwKWLGQ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 16:01:16	8a4e42a40c1230d80b5a716da4eb4852:qvjkPzWKzKWWWFLQhElvyeykwZvAy9yu	Q1:安養平民化	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	117.56.49.122
2018-04-24 16:02:12	be4b7e39187953dfcace3304a9ebf5a9:rvsuz9xGLxbdmOzeHsVgvF7LlTH0gLvY	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 16:06:54	45154c0a853056e835bfe6287f880535:oSFYb0RW1q7HJJiX6W0asxRNdCrNKNDE	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 16:07:07	669efbd2bddc04a6c5a71c5259d1af8e:gdiv5uJyoiAirrDaI1DNoJcuLCxxgwPk	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	1.162.45.232
2018-04-24 16:07:09	b333dd897c23fcd42d338017a7adeb7b:ChAKK76gneosS8QcC8NsbEdOcgsadqyK	Q1:與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	114.136.20.77
2018-04-24 16:08:25	d5272942201227855f42a1fb280ad094:fATtAYtzqDCZKBiWkyvcuOCZkadlyPt5	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 16:09:21	928e8145f822a331516d53537554c153:D5b4xuiVgcuCLM06BP5GYpiK9wzOFdd3	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	49.215.195.113
2018-04-24 16:10:33	af3a06714ee909cb92e570752262eb6b:3Hn1i71tuU4nDVG1Sc3OFujCxV2dETbk	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	211.21.93.157
2018-04-24 16:12:48	f3c8a95bd0ed3884e03ca6a0f12bf379:6Uh0pQBX6Lh2aICAG6rBraBymRVzzbmj	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 16:13:32	1bc841292bc6871c6b505d6d3790a446:xHGo8XSyPuz5GUbAr7ZBSf9lpcC2yJSs	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 16:14:42	99e58712df54412fd01c7f6a2702f790:bBaPHu955xNpjQcfy4evsmtBX2WjbZR3	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 16:15:29	194797da4001fb9442baaf6e2de34897:uOkluIUGKVeNCr3DNfuJ4bi7W0VvWgws	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 16:16:35	b3b028a55b308408c34d723efc979c21:9jDUufhakmfk8VvW17cTxu12k5p5vU6n	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.137.183.28
2018-04-24 16:16:39	c218690662cee1a95e00ff3f47d101ec:6vefuz0z5fyCYs5dpcGdpVDKk6yPHTal	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 16:17:06	df398e0625d3857533cf0d442258acd8:xSp83ppUwDmlloStRausXCoao11n0jC1	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	117.56.49.122
2018-04-24 16:22:07	a012cc9ed139929d5aa4cc59d6d157d8:YYEWrB4NKLdSPNFmsA5e39t2lf2Wox06	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.122
2018-04-24 16:24:28	922deee209f1943339ddfb62a16d4d23:ItYtsnktUm9WTOjlGqGdCtxSjsZrKW4U	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	223.137.183.28
2018-04-24 16:46:08	2f0b0c57079f2294afddf2e7be894154:N0MwAyV7ieipcnijoy7achp3srXLcnhZ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	116.59.137.251
2018-04-24 16:49:29	dd239b6434c57b5a24e0da9381a8a7f3:ZicfXMbVprluPASQRcjlNR5aukfnKTr8	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	223.136.172.249
2018-04-24 16:51:15	d48693760df902760e1c9bb588e1fc0e:mWCVZvSUmhXouxHnb0rReChemocoHI27	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,;	223.140.196.28
2018-04-24 16:51:57	89d08739e77fa603e68a57c34d371170:sOn1hd0YGYwoOTcrKewcqJzyc4OUyqYS	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,;	111.71.84.94
2018-04-24 16:53:05	5c71d535b569d69bde25d63f97de0aa4:RcXmpPWAoWDIWWfa0uxq1BemrxM0zcpO	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,風華再現通化商圈	,;	101.10.67.45
2018-04-24 16:53:16	8122e6c2bf7ef6757668c3a673900bcb:5dATBayqmag1BbqbM43FwBM70Iwy9Lne	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.147.53
2018-04-24 17:00:54	c05d800ecec025561232246de79bfc17:N3E1NCkGwFmFvEH0wJGqyNeww14zhfEL	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.28.5.147
2018-04-24 17:26:47	4cc61bcd8c0c2098b9e46c2ef8602f56:7UOwf2lk1SGHAcV3YXpOeqepPR7cwks3	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	119.14.86.108
2018-04-24 17:36:40	109bfc826262c726cfe10e4f31dcab6b:SJG4ybGOQWX8XiT9nwzu5AszQ1LW3VtG	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	61.231.189.163
2018-04-24 17:36:54	28cb8727a1108c73fca8c0e854327f87:UL28U4jWnl4qrJB6eCi48wWXRrusYnBt	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,;	122.146.87.18
2018-04-24 17:37:04	73d49b1fee38d342410924463ddc8755:HjJrCaNFzjobIUHsXnCCKmyREE1CIwub	Q1:米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	1.171.153.164
2018-04-24 17:38:41	721ef8f7f699745510587c8ab65d9408:uJDecbuxviusWTjrxOOuN1MYKKxYrRC4	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	1.34.185.28
2018-04-24 17:40:27	59a492cd874d0c167124c25601f5fdf4:B0IvxBBbN4GHFBZnKbO93GvrLo59eVMX	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 17:41:33	b606311e163008d2c93d559a9039ed01:yZgimIOooUxpF132J3JxuORLgZrOomvE	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,;	114.35.122.213
2018-04-24 17:42:19	496ac1775ce3a9f05f51e9bdd0b318d3:wlje63tmytkVeMli2GGtZRsBC1TxMPHI	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	125.227.249.1
2018-04-24 17:44:28	0882e40048b569775a37d9f365f5dc29:baJDmJh3zByQ1KFfkTdOz3ACatJUECxl	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	1.171.45.117
2018-04-24 17:45:27	2eec5fa5d6b08fc1fccca0c8b8b1bd94:fwfg3Z3yRuJKytAq9L6WD7fotUoAf9jG	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 17:45:53	535b25bcd21df87885b59710edf8194a:4LEdyQeKlJksboDVUiGRd6gibVQukEU7	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.136.54
2018-04-24 17:47:18	726568507121708e48c93c26273a43bd:P6LTmBlt8nueMqfSQR83ttzjU1WT6nsf	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 17:47:58	019a3a71f4303e783da70adeec026d0a:kbKkmiMuw7848WhlAiAib6FgrwXor2Ae	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.136.54
2018-04-24 17:48:51	32513ed0317d152a6f627cd3fafc57d3:1YTZfOaWtu0ucWHtIEb6cALbN2autZIv	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 17:50:42	0db4167a036c4480554a5c8f915e4262:bcgdtRuYQF87ScvflReHxKd0gcy4DPZo	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 17:50:43	2476132f002e6b9ac9b86fc082c1f5cd:0YqRsCxXQvllZncHn93zSzaqvRiYb1qD	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.136.54
2018-04-24 17:51:49	0d7c1b94c8f8522471b3b0cef757dc51:Y3todnP2xjX707BqiFnUwtPPL01U469z	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 17:51:58	3106325c1c3a158caf1d1d681c0090fd:fATgGwgyO237Jh6RxBKOtSmnvarsb541	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.136.54
2018-04-24 17:53:35	ffdf9c7d6dc30d7abd54e8057425dd80:zVXzJxkfQ3y6KEy9YX7MpGZwH9ouR549	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.136.54
2018-04-24 17:54:27	4926922e0c7b5067cd9e6e6e177e6034:LSQ9xFLSSmeKYkkOj6xfaaLIjeHDEpzR	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 17:55:01	7fe34ea31a0d896cff9748e59a334501:7HDlGjvQFuyLHBfyhAcxTPnWObYZxgV0	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.136.54
2018-04-24 17:55:32	e95bf9aca3b1d33b9f2f8bb9b2df2813:COn6xOwTcJf7VpPSRUzpnWB84TDiZMds	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.214
2018-04-24 17:56:22	09c0a6e01ddfeee4aece10813595cce6:7aCaLW6b23GFaTYPANJ2ecEIgm8NgLE5	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.136.54
2018-04-24 17:57:44	7a846b6ec55bce31bb8fe0d35815ce45:B1PKjptDgpGVTLNemzniXFyiNxHyFtJP	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.136.54
2018-04-24 18:00:41	9d5a2244ffe608d061079b2dbbb4fdc0:7llOilAFh2ZnwTCjwuVlCW8YChB4DJ1F	Q1:安養平民化	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	211.75.101.115
2018-04-24 18:02:59	0fa3b5a53c40061d454810e05fa3b697:1j8lwXYY6zdZlyANMeixCI3HlfmqUgn3	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	114.39.113.249
2018-04-24 18:03:22	c835137681c34d60efd4ab0c82fc6918:pwoftZ1lbR2aDeYH5djxSic5CNBQHqNm	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-24 18:04:11	a751b8bea908ed9dd97815458e484933:B9HjMV2yxJHWyVjetmYK8MmKzDMlTjXJ	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	210.245.111.45
2018-04-24 18:04:28	299d4f81f12ed0c1ddef9e24e4fc5a3b:skIj0UEEh9tZRYUqvMuQA6GEX9viYmaQ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-24 18:05:22	9f4446d2a0fe41ba0992a33ab8190664:osyMxcdSoMrB5icuKWnluTJeCaUrCHoY	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-24 18:07:18	b40d25f8ceae7dfcefdad18360e9e3d0:hPyVgM65wpDsmllDcEB2v5K2oUOvyEHK	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,風華再現通化商圈	,;	118.160.102.131
