2018-04-28 01:40:31	0e4b321377e631d9de210802108584e0:ILCo2tFHxvDhQwye44HWBzzNSZFm1ipD	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	36.225.52.244
2018-04-28 21:58:56	ff6db2ecfe4b699d1bad4645730a29db:iMfMu7JypAFFLcgUwvuFjp2TReCpu2Sb	Q1:信義後花園-松隆映像	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.160.160.101
2018-04-28 22:02:02	9c463a99e45198381e06d91873e68b66:acAr5mifNRZg5y2aNIkNHEmwdvdcz6YG	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:02:32	a27ae54f3484fd11940f3215ff700160:zr65PO0ICLkuSY4K8IcjsVjTdyL1L4nl	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:03:21	660b989e2bc81dcf5d56f6e01fd0baf0:VB4dBSASXWa7ad2OOsJ1wLM5BBnSK7dt	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:03:55	0ef8647fdd00e636baf125f59ac194b9:E8LtpB4mtCwZIVRVLkqWPM38k9A4cT0b	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:04:24	557614c3dbd557c5553556970bdd7e48:fJQpiPDBJhct3tNf2R5rhyB59vYh3bbP	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	111.250.68.150
2018-04-28 22:04:54	b06a4991beee02aa97f3b3bc968c8e88:4sOvbh9nDNDIMY5BlPu98uXXwcbA3vfY	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,;	111.250.68.150
2018-04-28 22:05:42	8e1366fc07b22ce5f32d1606d395b1d6:b9jMhjiXlS1XA2xAAkqcSSUaxrNTlCqK	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:06:24	76665df541f16cfa96a694edf4d35c61:8kIYdarQsz02mEl4Dm7CTtyv6596UJEe	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:06:55	565c204f1c8c1ff0aa3e365f00d6d7fa:PpkqCi6KGHOYNRSvtMLyTXXdxCuTNCsd	Q1:信義後花園-松隆映像	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:07:29	e564670af32ca09cf433a43bb66bb855:D3zZS8ljA2EQzLMyPv9zF5X7RafhxDng	Q1:公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:07:59	48bc4be9347ae42a0f8ba9d49619a181:pqLcAMSTir3shhc5ESLi46KqxrKYlNkg	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,;	111.250.68.150
2018-04-28 22:08:36	dca0603d06e1c6a81c34e5b79bdc2d8f:IDqpRiSaA77h9VJTxRYuF9Y7ss7B9U8y	Q1:信義後花園-松隆映像	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:09:02	d6dee21d12135d3a74fdbc33468f89c0:VNDuunHUiVcnWkakzDgFaRKbCSYdRSRv	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	111.250.68.150
2018-04-28 22:09:34	3be2589502998a949aa041226e9f38ae:U55Pv9US3arN2xrBFCV1sQT6EHj5dPDk	Q1:信義後花園-松隆映像	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:10:08	fb60e587d22bb9f998ec163f2d5353cd:7VfLMeRpXTppvu9R1OLWGBSdMGi8L1aQ	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,;	111.250.68.150
2018-04-28 22:10:43	70abf61402857c8031e68b5b80486e0f:2xum8fhm6ZjsccDGgmXeCyUOqM9BXUeK	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,;	111.250.68.150
2018-04-28 22:11:12	61bbc4ffb25a68ff403c6b7b349d1c7e:NZQ3aF9WM9IU5VF7x20AqAJxEkqJrl1i	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:11:43	347b2c57d0d67e7df123794ca62ebb10:oC7U1NvyaRMhQ5j0gPmC2nWX2CGJZQIH	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	111.250.68.150
2018-04-28 22:12:18	1c7710f733340038e5fc6a1e01417a46:SZ9K9l8AQ1SoRF0Q0GqkcKanraZUiAMk	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	111.250.68.150
2018-04-28 22:12:51	c3f2bd0d0de37414cd5b0eb380969943:79IxrraQ6ByaVRp46NaMpjPrTJ3zgwub	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:13:22	c9c77127bf99deed6196873343dec815:AZQUMygHCrPvVWE4mUfn0T0Mgm39dyI0	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,;	111.250.68.150
2018-04-28 22:13:53	6ca28283a9fa5cdb0cb370d4e15e8b95:mGqNS05MLRGEVVZukRAJpTrCYxzZtJMu	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:14:43	d92d413b55dd95def24ea08fac7d8977:f2Mps5IYQJejoIjyCif8PQenRZpIFxbw	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:15:13	f4f2eb0197fd3eb6ae4ccd65bb775bbd:e77TTi86CQTk7p37d82dTTN4LPYbwElj	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:15:50	fc054ace1343cf94c488127dcf981dac:CKbOVbmtImC50b7nCfUbaKfiC93AS6YN	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:16:37	b15a30def5df925c4135647f88158355:o8lRZEX1mOTBcrCvphHbSwtfY7JLlEax	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,;	111.250.68.150
2018-04-28 22:17:11	19c453730719e0848066572997af8f7c:ZnfQVR93Ex4aRHr69haSckDMp2KpCqsO	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:17:39	78bffa945cba0bf3dcf77ec9c2209426:txhDjpEIxS3L7bqTfY1Aytlzy1QfhfYE	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:18:07	819dfeb766b31c632d6799f6556af761:fkXFoxK8jWl3mkc5OT4CDJUwe7trOCM6	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:18:34	96e1d2458775bb21b577c24023d38c5c:WSAfFlcpceidzDSU0kim62aTnODXLlEt	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:19:04	0ccebae91cfd51fdf3299a463ddee57b:uues4R2tagOv87nWZQBPZgpI0lXfic7L	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:19:33	95698c51c2569acd06cd026cebcbf60c:ubpXl9gc9LqxCSxDWSMWjXB67pHJz8A8	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:20:01	5277c35899f767273efbb232fc77e250:jMbRAnnuY84xI2Kc8FebrCDQx5fyYks1	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,;	111.250.68.150
2018-04-28 22:20:33	be835c765ec2a1eaf217a8ecc5c29255:3bWHNzD7NjpuYzKbYYHePdXGj19C4ALn	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
2018-04-28 22:21:06	e00313388d0d92af4309715c152f1144:FLwQJ2yDZ05EgddjMgaqrFNHxGWb7uR6	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,;	111.250.68.150
2018-04-28 22:21:38	3acb0d7d0329f120690b1619a9148014:fGsWhSkV3lwb9YUCFIIIjSsBTbXyAVV2	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	111.250.68.150
