2018-04-30 00:12:40	b1bc610795a33252ca307ae3e5e34258:gFqyOGdOER18ULQwFvYF6Q6mZrzhVUb1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	36.231.97.60
2018-04-30 13:03:50	cf0a145f724108e00de56c018647bf83:92dmWM41TPr4kQ5w2rSC50NCjH7wwsIL	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 13:04:24	34a498615c76de807a05fed966b9f3ea:uTs3zlTurfwTlyCJ6W2yFGmirfGwd3jW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:04:37	8cbb8bc8077c3b5b9e32388e6d53e985:f5sjOXxudzDkzTH4Yakuh4hiUMHBP7bN	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 13:04:47	957580f810b1b143ef1f1fd0079e4140:a2npw0KRYzaKbzDbsSXxVKH5nfNv2tW3	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.228.98
2018-04-30 13:05:03	6fb6b184e898f24c8db0af7305408817:JpPtNRnF0ip0cisqrXkEhU4PNzGNlSK4	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:05:12	1d136e5f42fc327e18ccf81568cfb527:dQoW0XZIXOIGzBSrFR8VwfwaTE05vGIA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.226.248.19
2018-04-30 13:05:22	c36281a5934ad05149fbd243a100e4fd:VXRYTw45g1655ektWR8iZ4LHJd3ZjlKR	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-30 13:05:30	a098bcd12bd1f2a09c52fda719f0c7bd:iyaJP3UTecyA7hdPmn0spOLSKGQgczsw	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	223.136.40.228
2018-04-30 13:05:32	f493bd4137c5c1b40ac17cb558018615:LjPluVne0UHudZixoaP0YW0YuWxqZJv2	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 13:06:10	f6a91110b41245ee47435c8a9cbea559:cfypKN6ojhj6uQjlwDE4h3gdWVtYRrMu	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 13:06:12	1627fcbdcc22272afb53103a44081a66:TYENSZGvndFeWfa0Z4Vec191SBFdLaYK	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.226.248.19
2018-04-30 13:06:12	64baf00b9ff901eb153d30b5a80843c8:QrblUB9VtSzgQxt92kVKzSBCL9fskyQo	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:06:18	0eb0cb7d2103a4158ed84567c7413f98:CwuBHNbN0s9efAIuRdxYp5H1ZljBGF5x	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 13:06:37	54dc6205f94cc5be2aa21d5be8b4a812:EAkEpIflW85DpCEE1X1uOSURHDFEYTyp	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.20.242.78
2018-04-30 13:06:50	668f5d877c8dee10faa8ba6ace9ec739:4nzfWRKe31NoteASh6PnBeCNTyAbEQeL	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:06:55	3fde3dd0d2e69c8281ffa8a918f979db:yVIFuRsvZGiOlKoOVPbJv6VmX0eidBga	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	27.52.100.133
2018-04-30 13:07:20	70dba83c1530f40b35488d6747e402c1:c6yBQhsweyMPnugubV04tOBY3cgb0F0W	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.226.248.19
2018-04-30 13:07:45	4c04f4a75c62c9e15d98462072143943:Z6ZKKAXuHt0xo7mgXSSuiMoKeykEPEhy	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:08:20	7a94f1b98354f63b9dbb11dff07fac91:GTih7qAg6MFI8wryqs1fBj9Jd6dD966l	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 13:08:24	6a208c8e8caa7c0a1b59b0a3e36f5e5a:11dtdks4KjlfPmwiuXhi3OgnEzHjfNjy	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.226.248.19
2018-04-30 13:08:24	e623bcd2aab995038352918eaf349133:T6x43V40Dl56pylUdE07ydfilBaielVM	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.228.98
2018-04-30 13:08:31	6bc4c3cc256a0b31567ac392dea9c5fc:NdISNNA8UPwMQzOMVZqtUKYpMDYNL9km	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:08:55	8762dfd61779d32509312b4de9430b08:orcjYqrxwYs75WEMMvuknaNulcPFhKCA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	27.52.100.133
2018-04-30 13:08:59	11ddaa0d5fd4757d9415e514afacdd2f:zpBGoa6cvyd5nnIM7FIM4ehNKhG0pmvf	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 13:09:00	67f01a0eb4fe87e64cf3449a7742b5a5:RDJqvQUhUAILrq6On5TS1vmGnzZKegFK	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 13:09:14	d3b4b4562ab86700f6f2f8f42c35c061:343lWIJNg45vimVtiMZKiIDUfbZDvEDD	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:09:27	afaaae33d8efa107c0220d7afce2d371:cc1xEtIj4HHbBoHmjTDHCRB1ho03btAG	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 13:09:58	0d38ffef4f9879f0da02ab1d698afaf1:kJ8sAlRID34yEIyoglV59kZeZlD1IZFH	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:10:06	2d618f1b090c3128f0990f39ed89ac40:yMwhCnOSBzu1fCJ45CDNweO2z22MiiE1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 13:10:13	61f5aaa21a31a0354f4c4249b163a8e1:3vWOrsCbkjnbBrwmTPElMcsdItAnw3h2	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 13:10:16	e8b0b71ad6d9789c9dfafd5d882cf196:6qSypjntWtIAyCELRw96XSO9uGLZSZHo	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.228.98
2018-04-30 13:10:37	485062459e9a37f31bc80a48c9eb3530:Yw2umKOR26tLeHGzqui3VdbdccCSsffo	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:10:42	c6cef5ab7f283d98cf8ac5ac2276305f:n1V8DR1Kzzgz2sty5w6zOcex4XALfeyQ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-30 13:10:44	ed448407cfcb58ce41b1719dec779f1a:xdz2cUV9Xgk77ESh9auQTs9mwpwvOWOe	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	122.116.41.58
2018-04-30 13:11:01	be5ecea87e9e099284002af15e805335:1ZYTEWA77DTviwNT2nKbHJ2nxha2aiGE	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.20.242.78
2018-04-30 13:11:05	011b41a90b094846de7ec81d264e0f8c:6sxllourcCAHNq7xWnk3q2MrqqQpwpWj	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	210.242.212.103
2018-04-30 13:11:09	88b93cb562d38cfa90dee58dfc559a01:09E55UJ0oo9SkAngTVwINU6cvMIETy4x	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	27.52.100.133
2018-04-30 13:11:22	80e5a010d1e2fc27f5438c183b61beca:k3Mz9TVQfWIeW9jVXFwwwipCTFC7r339	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 13:12:03	be2ea657628ae7fd7ec341b6dce4d611:KNUb7NFttfaxGWR2xgsMGvWHPnpmNFvu	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:12:32	bb3317d259788d49e93c0fe181f5c481:NVwzNjB59brRemCnm6kWK1bgZgzVW6rM	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 13:12:47	2ce08181dd4477eedd14bd6ec3e53f7e:NKFJ7BMSdLIL5FBeaWQgcFjY4uCHeilT	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:13:08	e82b1eb5650c171ef2efcbc49d142e65:CVymp0JFxCMCH5SCcnTry1YuiC313Dje	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	210.242.212.103
2018-04-30 13:13:25	20b7b2dc1bc6bcc2ffb0183d2e67ecd7:jDZ0lOB77h1XtahYtnK5mtXUK6jvlWBo	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.228.98
2018-04-30 13:13:29	8d16aebf530804d816f7a4b38b51b062:Ue22JKcyY0LgvZV6BrShJB1j8F9Pdhff	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:13:48	0cba7568e835a205b1f0dc713459c93a:GAHBDCGqyQlpYRjTs3UsnuwYMcM5oIuV	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	180.217.162.184
2018-04-30 13:14:03	a5ae1653da6b0bf7f492aa7ff44205ca:ldlkhc87YImM82z4ekErr5feUgJMbzIa	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	27.52.100.133
2018-04-30 13:14:06	d9a72a8b2c8bbecb8cb75025ce90ea8b:MSv58eqlzojDip76lUrbTxt6P1ysIZIH	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:14:19	a4bde41bc8d67e68fb8852d40d4f840f:PnfyoatgSeVu6ffCr6rGXKvOUJPgI2Lf	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.20.242.78
2018-04-30 13:14:44	ac26b3cac9f98c0b63185d25080ae013:FbtxL4WcyYFUvwfMFlpXF9ffkFw45QD2	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 13:14:47	c59ba3226b01c5525372a5ba0d1e23c2:nZXu1sZTxyUsgOmW5yl0KeU2mNMlWieq	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:14:52	cb6d5db562d5fdb889dece12900bd7d7:Kf0FLwbGnsDVv7cKyie5zPb4E2EcaPXU	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	210.242.212.103
2018-04-30 13:15:31	e09ec7359692e504a2714cf7d3e36dd0:w2RfXOLdgy0uYIWo36OWsEVh5sxDnjRk	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.228.98
2018-04-30 13:15:31	2fbe65d317417ced3294e20a9a310d26:DTT32LbjwIRGn8TLL1pgtz3MFUOoe53f	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 13:15:39	65e2e40ec9e3a30bdafa7caab9f857c5:NcjonK9SLgrfnBbOvtGltBEXKxqNucax	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:15:50	516643144994b54ada0ddafcb74681da:8sFAkqYy6RzQ934jRDZ0bTluVMJNM1wZ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	27.52.100.133
2018-04-30 13:16:07	7f01a6d4b99dabcc15be06189fe2d132:vSLqz30bzm4jMQQQpuvxOqfwsuyM4hNo	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.20.242.78
2018-04-30 13:16:11	c7a5ea5159eecffdf7b365a4a369612c:ZzqEPsNQG3PF9v6E2z2D7yXxxvZlOqY9	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	61.216.93.78
2018-04-30 13:16:18	6a330938072dedf7dcd17a1d9b3974c9:6TGFQsGPbZ7jTcKpE9n3qwHluGDSpDDi	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:16:25	192b310f9942498e986fbf72b2e056f2:AqMTLOPNvUZGle39XzGM62SyVeZDypd6	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.217.162.184
2018-04-30 13:16:40	f3098323844826df173e55f031bf8e96:Vji8arEYdnoQSGXfuwU3E9waXzkfA0UO	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	210.242.212.103
2018-04-30 13:17:22	b40bb98871362ebb43e67ae9195470f0:he1XWcQavS9iVxFHRFHvYdqLtG5FiQMD	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	180.217.162.184
2018-04-30 13:17:23	586f2d81546b2b9733a4a91ee079d0ce:zB6elvkdiMcwtal7R6Mg5TNvfkmSt61e	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:17:28	39e87d9ac4cc925c86ec75c9375a9967:w6Fg5ADSm3GsCxNOFz1DrjpvA0kOP03h	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	27.52.100.133
2018-04-30 13:17:53	31299309812206e2f9b71643f3237901:PbDICPvGzXESkNBYZdwA2c7ZNzdaOMcR	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	210.242.212.103
2018-04-30 13:18:03	f46147fdb1adbc723daa081d174c9631:CZ5HIX0QTIIEEI4LmqA8GdppxnWiI7CQ	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	180.217.162.184
2018-04-30 13:18:07	ec8ac9e51204351f121fd22aa6d5cedb:POxrmf4EP5yUaW3PqGJlEhRq8iJyMAY4	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:18:39	12f77b9cfebef875d51b8e288f2bae10:49mSnG5kpkYbRphGwIQFZLyM22tpUNRL	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.228.98
2018-04-30 13:18:41	2c79a215ce85d0eb31f8a59013c03d27:4yWuvJysw7Rv8ndjkPtJRd6YEF8pGEem	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	180.217.162.184
2018-04-30 13:18:45	1a17e91ffb8c4d52153bc31662a30278:8GxWnLmrZQSxxA7Mz3vqKtJoLAOHx7vR	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:19:24	13e252b7475f173b49d88d3ee0779b09:TlXLN3RH41YZs1KEeCjEquKmChC7aFPG	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:19:39	d880e39b80b10ef0aab9f23007142f37:NHZBXdnmfSaY2zuZrLciRuMqhkNU1cfv	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	210.242.212.103
2018-04-30 13:19:46	2842d4785f1ce211e0b7a21e222340ba:3yDJj5TdPDsvH3aVBTJXsmXpdQbk7EPD	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	180.217.162.184
2018-04-30 13:20:08	6f68d5d305d62eec266e86286cf2b593:WMSyGOIqRDAsMvSPu2DILjnw0LYmPiey	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.20.242.78
2018-04-30 13:20:14	fa3232ff7cd43290b49e378cf0405cbe:mVVf3kr6d3CCayBEBRz9FoVFvCwerFRR	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:20:25	fbb029577ed670df147ca339f316c7a4:NfgAhLa3aQlyemdCVzvnJ6POnwVATnTr	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.161.228.98
2018-04-30 13:20:34	b0fc414de861f2dced6ef6036d9b7d01:NZEREJLJ1bwndmOWOvJxv2PSPhBdM8I2	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	180.217.162.184
2018-04-30 13:20:37	a8b7f1e9191a2282deeed2b597c80953:cmJV0SixR1lSw9ufR0WISTftdIE1A1TJ	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	210.242.212.103
2018-04-30 13:20:53	7caf7bef4d336f52ce83a72e7d5cbe02:hYiXp3CVbLWxSK5QiepDBH2vzFdIamKS	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.28
2018-04-30 13:21:30	6cc7f61b7d5b205f0ac70aa133cf06ab:f5woptuxptWEIVLpvQriRwyilQwWlqXc	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.20.242.78
2018-04-30 13:21:39	fa64915e86606c7f28a7073c79208bd3:hApyEaaqzC7LRWPPr541j344OjrAASmX	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	27.52.100.133
