2018-04-24 01:09:51	5c02862c07b2f7f2ac37f9c03e02f9be:Xh01r8Hndx4A6rIAx3iRkM4RuBSyTXyc	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	115.82.194.99
2018-04-24 15:11:40	705185fb97098083cadde75fc6cb8a10:N5Dlf5LE9OE1OZ39qhP26ygH94hkcsfz	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:13:21	f08107a4e6272d655ecd7a276727aeb3:HWcP2MvobNo9PUYIwQcGbn7mUCLS82OZ	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.140.45.37
2018-04-24 15:13:29	197fff8b662e71eb5c4547d095ae0592:Nd0F6WIjySw2mSYEQsvTTr0PK0goA3t7	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-24 15:13:37	a735f7ccddd9f9f79cec60d748cf952a:L6BHGxFcV6q045hON60HZO90sZ3WUziq	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-24 15:14:12	d4db17db6747ad073cf8ecc76f4f2bd0:LOqjgKYdWiYJmeqAIYFb8tqSHJwYKCn2	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:16:14	4c0cddf6bc5ff2d2174ce6a80d1a8cd7:4cwEpOAoNqj1zqV2xdFCDgAE2QA2KuPl	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-24 15:18:35	f4ade8db7cae34c79a3fbecbdfde798b:zLnU2KFHYUAuxCNNugXUGqFZ04YiJruX	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:19:16	46e21d8907e9bb018bbe96454d99b9c9:YL3xjlCDqhoraLRK41EW0VKEsb4dCDFm	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.30.218.57
2018-04-24 15:19:24	9fac65088d6d4ef67bf718c9afa5ad50:HGNKl5VUXoMH79x7gCCeLowrgpAfodgn	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-24 15:21:30	a0b90048cae46676525633b65e2d80ea:q6mOS06d3G6KC1bhwVgtL6XqjcOcKQRZ	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:22:27	219c55dbe920a6bcc77078424088df48:kEsWyYcuWrS81pyd46m9RgGPpWex76d0	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	140.119.121.6
2018-04-24 15:23:07	820c26f0e5b724f798efb3cde18523dc:5PzKY4JdAyccp8nhKxCCNjevcN3Gvg4W	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-24 15:25:10	f6cf61140b6dbad1089358803b023b23:jVFi1svYQqTY59edPg37yNx2zYVHS9CV	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:26:17	b3bab14d62194ec6bf3973799e6b433b:6AMSrIbaL6EpUuLJmHTpYsqtFXOkYkav	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 15:30:20	475cde835d2308d9ec26d3fbccc32dd1:1bj4Et5OHMvEOBus3ayjSS377E15csKK	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:32:05	8929a630eb407cbd498f21587342c47c:bhMboJEB828JHiFS57Thvwyj8M2WRgGU	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	103.31.196.193
2018-04-24 15:33:57	a55a23b74577ab7f7c1d077664b98ea4:UJEyreMFY9Cre8mUlKrn6VRXe8vjZRTb	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-24 15:35:45	c11e08c4f9e0fc48df6eccb5fbf93880:U35VQR2qhiqqcmwurFHj7RCgK6yqOpS1	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:36:37	0b4309a19fb6e37b9e30ebe29388ede1:jrkFKXSUvGnoiVtidX2S2xBmS0d4kkSO	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.137.173.3
2018-04-24 15:36:51	dc894b3f24bce9c1cd438e7166bcea2e:hT5D5SLjPwOF0WhrGpXzz8uvOl9pGpLc	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	172.29.144.207
2018-04-24 15:38:44	dc910bbfce7cadfbd5efc3f8fe240f92:oUygzo6zUgxg1qqMEsgZayRxVFGxHoUN	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.137.173.3
2018-04-24 15:40:20	e52e4f8f6a72fe2bd1e241fbd21b13fe:Mt8A2Li6Pd2MPt9sKvRF6HEdMA5yu5gf	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-24 15:40:26	b694df656eb7fdf589e3af6cf0ef8ffc:KoINmqGKbkmd8DXg0zsMrpyV8hQ5so1a	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.137.173.3
2018-04-24 15:43:09	5c87f390ff8d2b9657ce6293e08c3780:Cwc0kAjAO9S28aefAZ5728pzXEMj7xcc	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 15:43:38	e299c47c7a4ec7d003cdf939cf4456e1:EKabrC6LXRZP8SA5JT3fIKITyIvviFy1	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:45:21	30da4f9288f020f1a179424d33965c37:VlhwN9e9GyrnTpuEX5PKRP8cjV6orgfB	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:47:40	e82f8016b26f0ecb76c5b3e08576bc93:udaSTEBKa7k8Rici8XbbmXr2H1rDw6u1	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:49:13	cd546858665717711471fdf6ed10f9ce:4om8nKqZQIoXPNczb4NPUMARIPsJOtA1	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.30.218.57
2018-04-24 15:49:17	8815adedf73b5ab6bd1ce81df190aa69:CoMPsvRAblysi3DaIbIvG8e4wu8FBRy7	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	27.247.231.164
2018-04-24 15:51:07	d3b08c3f18aa328d88a90ff702c16675:FsGNhM9flwxrYHJMoUOolGv7EFGNZEQL	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:51:36	3cafc138111a32baf00d2495311d5c18:GaHXps4uo7wrHR5mwh7QFg1qKN9fnoPY	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-24 15:55:07	3ead22006d71bc4f320811c304d3b6e9:NpLJC31GyWcn5i6YYSE7sQFxNwGS8n3a	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-24 15:55:15	0c3c214fa001f2b6c1582b28f2c66e28:AjOQHKeAd69TlsSTvVTRDFLlzrV7l5uq	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:57:18	329fd26d7c2c73f5cd4de074e3365665:XfIPDYYFqtjociLOmfM1yd3la6tD73gJ	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 15:57:43	8ef09c2adf951b3fc1555f92f3050eba:GKf448hum8gZUa2EdvBDhtVUkuN36Mef	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-24 15:59:18	eac1254d97f06a92d2d885beb169b00c:QMkbcrLLbh14PPTcP2wmLM2reZLEUIvf	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-24 15:59:24	acf52c57afae7fcc06397b14a14a8548:HM4Yp01NNogVzsEBdKmw6d3LFhqO5rnn	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 16:00:48	2bcda01c8d6397ea9463a5cb2fa32bb9:0XI1NOtWzClUswqEYNES5bRppnWFL4lV	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-24 16:00:56	c834278b86892c29fc32cf84892223d5:HTrEGJTrgxWdUOQj185buXStGx9Cj9JD	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-24 16:01:22	9bb71be446f2fae918b743683ae9f594:1TY9wXMXpg5xVnuDTEdvw7aUAz8S9IR2	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	172.30.218.57
2018-04-24 16:01:41	c04573d76b1c3211759590a5deb9f9e1:HPvs2RWC0M5nDKcUw6QmYL8HqQdaM3qB	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 16:02:57	1b90bbcbf39d9b134dd8023de0425fe4:2MMjIDGKF3OfitB415jLn406I3Ebi0x0	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-24 16:03:19	944d347d29a778261c8ff46964c80205:UUUHFJwkPoNonfbxOqdDMQ2ArCbtNSzA	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 16:03:32	92a71fd160ec1c36561b784882e6f794:XY4O7OZYBcJJmOxaDXu2EqG1olSH4XV5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-24 16:05:46	11caa203387fb72c06a6ccd5bb7b607d:H6joraY4xFZQnpK8H0mOSFwt8WqURQCG	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 16:12:53	a1e2ebd5072ca76d95c12ac922b46e1a:zLzqdVf9NIVYZ8LVdiUXqzKjhcSinXkN	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 16:16:01	147081756375095d8a3c88af2ffcb459:ZUf03JGxsCyCe2eldeDz2rJIDA2meJGT	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 16:16:53	07932bbd8e78232ac4960950a5b11efe:ACnocFisXknDlFMxZs3SA5ZetqR0QKQw	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-24 16:18:41	36e434b326b7e6ee9b8ee049c911c5cd:WEeTB7G7agvtwZWS8skHzHflS6RqtLQH	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 16:20:24	41caf51f5c7e26de7af0d40d6b4a30f5:seGNTVkpOU2GyUj2dLxSx7NuaxcYbL0Q	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.30.218.57
2018-04-24 16:23:07	7d22aac83143cec65d66e2810eb13888:fVGoUP5Ziaa8zxHDQ7isV2aSw7vj6adx	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	101.9.211.213
2018-04-24 16:23:59	ebc474f4b95c608f9d7dddd4c0c58960:furQxfSPOeWHStDuMo2HYR6GFgxXSxPp	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 16:26:53	61cd3e106e8b27f4d509747f8fff8ac4:YDa0GXTSrNJRNjTQBIk1VAnxY1fg43ys	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 16:38:16	479de70a6afdd5e77b64bf9e8c697fef:mO7YFLpxpTCslSHvx83wk0atdyav6grb	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	114.34.10.206
2018-04-24 16:50:11	29c4c452055e86b6d6e53fd3b66ed588:chQIBXajN5XpdzHY3a97S5DZvEKQuICZ	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.147.132
2018-04-24 16:58:42	4432e7fec77e6e578210348fec601648:JX39Tdg1yu06m5UDwx22qZlT6eTXgloL	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	1.163.184.24
2018-04-24 17:00:47	f43234cf1865417efd15567d97b8b472:cROuJuKD776jIC5pN6Y2Ef4VQOEmZUWd	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.239
2018-04-24 17:01:22	497cc519dc532a4962c3b681a7c17da7:rLqowIJbS0zOOp7vIensL3zle2njKQSS	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.226
2018-04-24 17:04:42	dcd73453e1d5fe508a655b3e1132c08d:noIGjLiHcgbSIaf2sPwgc5A4dOeVmI6Q	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	49.215.195.234
2018-04-24 17:13:01	c95a9d0a57dfadd25cccb5af6d9fdfed:T3vzhvpCuCZMvAJCeNDT6VxLezYmCI73	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.30.218.57
2018-04-24 17:17:37	aec17019be88e9e832323edfe98171bb:AHzlEZHiiOlFJtYpMYltPd2uXg75rSHH	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	123.193.71.103
2018-04-24 17:38:48	3dadee906a4eb0df60379e68a1581164:qZS0C9dsf1vEyXdjloqZRCAtMqGtMsaO	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	27.246.44.1
2018-04-24 17:38:55	d483a3bfd5f3e440a2b914f1d8077820:zA5Fk3dNy9zeBPUctZOQQ4uSI8PKZ0ve	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.160.169.208
2018-04-24 17:40:28	92740a4d2a05628d2a6f0e82aa12a7dd:s41LJdJswsxHCuuzzm1D5ui4ckp5ZeAA	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	36.226.167.43
2018-04-24 17:41:52	9519efb81d533b0f4d4c3eca223e239e:mcfoYnNByXzsxZvZpFGQoLsqBs1Vqad3	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	218.161.41.107
2018-04-24 17:42:47	ea77e63953de73b1d7297af8184d4638:EoPGPg1PVTN6CxAg8W1nyVMP2X2KKNtj	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興豐熊讚親子主題公園改造計畫	,;	111.240.226.124
2018-04-24 17:43:32	dea020f08bae62d2d9f60f7402f1a49a:YxBTZ5xIReG69KuFHqhzeCWxDrfxBeUC	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	118.233.153.221
2018-04-24 17:44:03	339950a344859536fc35b4ecaa5eac9f:Vgx3tWqiAGLYt0XgFXGDN8gj4uM3N0QV	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	110.50.131.63
2018-04-24 17:45:38	020aad216964714bc790c685523eb665:DrCJgC2YqU29kJNAu50oAD2X9hgbUHI1	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.163.107.175
2018-04-24 17:47:11	e7beaebcd769f043aef8eb70afae17f5:t65z6uuDN7g6FecR3FnMMoN7Ohfc1Lr0	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	1.171.51.49
2018-04-24 17:48:09	d5fe9b9550048eaa2ce05d16a8a4d861:Gbrgbd17vDwdawykl2lH3pMEoj8Tx79r	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	111.240.226.124
2018-04-24 17:51:13	ea10af2ec640e08184eb6f19d0182ea2:Lvt8DqGwQCKLc3wfRSO46OD11Lsttmfs	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	114.136.180.233
2018-04-24 17:51:19	1d3ebf01b3b4dfa0a2372d1ec24c8504:Gpit4ry1P5npCbbGZCFLmoMMm9KU080t	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-24 17:52:58	3f08893a85b74f6368da2b2898f98d90:LyRbBGTpRIEF9K7D1OdCILMbanTaG1ld	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	223.136.166.220
2018-04-24 17:54:01	c1f6cd34ac3b2cffd6b5c11973948843:kbT5TVKi4bKuXGLx4VG7dHyittxvBge4	Q1:呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 17:55:58	c074eb8f5307f6fe0f1e553e577a7782:rK7gC2q4ap0yjKJE5WCOwi3iWJbN2OVy	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	1.161.230.120
2018-04-24 17:56:05	8048e6ecc62d25f61cf71de041393337:dmWaSHqmXjmoxvX45h4MYZozhDYn8fYL	Q1:呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 17:58:11	e902f28e3de125ebb07ac34a2ef6f176:19CC3FHCE9PEdnwNV93aXwlSCub0c9nn	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	49.219.130.123
2018-04-24 18:00:15	17f1725a371c5533063a1c5e293846a3:cPP1m3F0ft5FpvVGHoXUgviXrqyFmutT	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	114.32.173.72
2018-04-24 18:01:57	033020bd24ed352197e990d4b8d86bb9:r5qaVStY8ZJAJ9yFSd8YqWde7U588aSn	Q1:呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-24 18:03:56	41d72e4f1aa42bacdeb229b8642392d7:TX7Juweu943lttgFIOmgZVfTHpYHduyA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	118.169.32.41
2018-04-24 18:04:42	3bac58236e632a89af03f1539f3c9bd3:GHszh1jbeI6vTSQvL6s51hkaa3CbeONj	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	114.137.59.12
2018-04-24 18:10:03	3962d56ebe14f77d3907553e92664be6:0IkLyUiGfI9guA54qSURgA56bhmnIjc5	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	59.120.149.229
2018-04-24 18:16:30	4d766c285b4afa925df7a980f5577757:NCXCh3nxTglVOrV3ygtw78v2YIu039K4	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	220.132.46.182
